UFID|UF_SECURITY_FLG|UF_PROTECT_FLG|UF_PUBLISH_FLG
80045701|N|N|N
80045820|N|N|Y
80045950|N|N|N
80045970|N|N|N
80046020|N|N|N
80046030|N|N|Y
80046040|N|N|N
80046050|N|N|Y
80046100|N|N|Y
80046121|N|N|N
80046136|N|N|Y
80046170|N|N|N
80046361|N|N|Y
80046363|N|N|Y
80046541|N|N|N
80046580|N|N|Y
80046710|N|N|N
80046902|N|N|Y
80046961|N|N|N
80046970|N|N|N
80047000|N|N|N
80047060|N|N|Y
80047106|N|N|Y
80047207|N|N|N
80047250|N|N|N
80047262|N|N|Y
80047351|N|N|Y
80047381|N|N|N
80047443|N|N|Y
80047470|N|N|N
80047801|N|N|N
80047849|N|N|Y
80047984|N|N|Y
80047990|N|N|N
80048030|N|N|N
80048160|N|N|N
80048221|N|N|N
80048321|N|N|Y
80048410|N|N|N
80048420|N|N|N
80048525|N|N|Y
80048592|N|N|Y
80048641|N|N|N
80048785|N|N|N
80048880|N|N|Y
80048960|N|N|N
80049061|N|N|N
80049066|N|N|Y
80049162|N|N|Y
80049320|N|N|N
80049335|N|N|Y
80049450|N|N|N
80049481|N|N|N
80049569|N|N|N
80049607|N|N|Y
80049610|N|N|N
80049671|N|N|Y
80049710|N|N|N
80049850|N|N|N
80049901|N|N|N
80049991|N|N|Y
80050020|N|N|N
80050078|N|N|Y
80050140|N|N|N
80050148|N|N|Y
80050150|N|N|N
80050321|N|N|N
80050363|N|N|N
80050470|N|N|N
80050593|N|N|Y
80050630|N|N|N
80050689|N|N|Y
80050690|N|N|Y
80050700|N|N|N
80050741|N|N|N
80050800|N|N|N
80050821|N|N|Y
80051030|N|N|N
80051100|N|N|N
80051161|N|N|N
80051221|N|N|Y
80051230|N|N|Y
80051440|N|N|N
80051511|N|N|Y
80051529|N|N|Y
80051560|N|N|N
80051564|N|N|Y
80051581|N|N|N
80051717|N|N|Y
80051771|N|N|Y
80051789|N|N|Y
80051865|N|N|Y
80051905|N|N|Y
80051941|N|N|N
80051943|N|N|Y
80051991|N|N|Y
80052001|N|N|N
80052110|N|N|N
80052307|N|N|Y
80052312|N|N|Y
80052340|N|N|N
80052421|N|N|N
80052460|N|N|N
80052490|N|N|N
80052610|N|N|N
80052760|N|N|N
80052841|N|N|N
80052853|N|N|Y
80052918|N|N|Y
80052920|N|N|N
80053041|N|N|Y
80053050|N|N|Y
80053110|N|N|N
80053177|N|N|Y
80053261|N|N|N
80053356|N|N|N
80053386|N|N|Y
80053394|N|N|Y
80053397|N|N|Y
80053440|N|N|N
80053460|N|N|N
80053519|N|N|N
80053534|N|N|Y
80053570|N|N|N
80053615|N|N|Y
80053670|N|N|Y
80053681|N|N|N
80053793|N|N|Y
80053820|N|N|N
80053924|N|N|Y
80053932|N|N|Y
80053935|N|N|Y
80054090|N|N|N
80054101|N|N|N
80054120|N|N|N
80054450|N|N|N
80054476|N|N|Y
80054521|N|N|N
80054536|N|N|Y
80054590|N|N|N
80054760|N|N|N
80054941|N|N|N
80054960|N|N|N
80054991|N|N|N
80055017|N|N|Y
80055060|N|N|N
80055097|N|N|N
80055138|N|N|Y
80055200|N|N|N
80055279|N|N|Y
80055361|N|N|N
80055558|N|N|Y
80055781|N|N|N
80055820|N|N|N
80055906|N|N|Y
80056022|N|N|Y
80056099|N|N|Y
80056121|N|N|Y
80056136|N|N|N
80056160|N|N|N
80056200|N|N|N
80056201|N|N|N
80056480|N|N|N
80056500|N|N|N
80056510|N|N|N
80056596|N|N|Y
80056610|N|N|N
80056621|N|N|N
80056640|N|N|Y
80056650|N|N|N
80056675|N|N|N
80056765|N|N|Y
80056790|N|N|Y
80056813|N|N|Y
80056820|N|N|N
80056961|N|N|Y
80057041|N|N|N
80057181|N|N|Y
80057255|N|N|Y
80057420|N|N|N
80057461|N|N|N
80057477|N|N|Y
80057508|N|N|Y
80057661|N|N|Y
80057722|N|N|Y
80057881|N|N|N
80058020|N|N|N
80058100|N|N|N
80058251|N|N|Y
80058253|N|N|N
80058263|N|N|Y
80058301|N|N|N
80058346|N|N|Y
80058420|N|N|N
80058530|N|N|N
80058606|N|N|Y
80058697|N|N|Y
80058721|N|N|N
80058770|N|N|N
80058804|N|N|Y
80058849|N|N|Y
80058994|N|N|Y
80059110|N|N|Y
80059141|N|N|Y
80059282|N|N|Y
80059320|N|N|N
80059345|N|N|Y
80059410|N|N|N
80059561|N|N|N
80059653|N|N|Y
80059690|N|N|N
80059737|N|N|Y
80059831|N|N|N
80059886|N|N|Y
80059916|N|N|N
80059940|N|N|Y
80059944|N|N|Y
80059981|N|N|N
80060040|N|N|N
80060060|N|N|N
80060090|N|N|N
80060170|N|N|N
80060183|N|N|Y
80060199|N|N|Y
80060230|N|N|N
80060360|N|N|N
80060401|N|N|N
80060427|N|N|Y
80060480|N|N|Y
80060530|N|N|N
80060586|N|N|Y
80060600|N|N|N
80060633|N|N|Y
80060700|N|N|Y
80060710|N|N|N
80060720|N|N|Y
80060821|N|N|N
80060840|N|N|N
80060860|N|N|N
80060933|N|N|Y
80060968|N|N|Y
80060980|N|N|Y
80060986|N|N|Y
80061038|N|N|Y
80061041|N|N|N
80061100|N|N|Y
80061106|N|N|Y
80061108|N|N|Y
80061130|N|N|N
80061220|N|N|N
80061223|N|N|Y
80061241|N|N|N
80061248|N|N|N
80061360|N|N|Y
80061391|N|N|Y
80061409|N|N|N
80061439|N|N|Y
80061453|N|N|Y
80061500|N|N|N
80061509|N|N|Y
80061601|N|N|Y
80061648|N|N|Y
80061661|N|N|N
80061666|N|N|Y
80061826|N|N|Y
80061966|N|N|Y
80061995|N|N|Y
80062050|N|N|Y
80062070|N|N|N
80062081|N|N|N
80062105|N|N|Y
80062280|N|N|Y
80062420|N|N|Y
80062491|N|N|Y
80062501|N|N|N
80062520|N|N|N
80062560|N|N|N
80062591|N|N|Y
80062630|N|N|N
80062656|N|N|Y
80062709|N|N|Y
80062898|N|N|Y
80062918|N|N|Y
80062921|N|N|N
80062987|N|N|N
80063132|N|N|Y
80063136|N|N|Y
80063151|N|N|Y
80063170|N|N|N
80063280|N|N|N
80063320|N|N|N
80063341|N|N|N
80063452|N|N|Y
80063548|N|N|Y
80063610|N|N|N
80063649|N|N|Y
80063673|N|N|Y
80063680|N|N|N
80063690|N|N|N
80063761|N|N|N
80063810|N|N|N
80063917|N|N|Y
80063960|N|N|N
80063980|N|N|N
80064030|N|N|N
80064160|N|N|N
80064181|N|N|N
80064195|N|N|Y
80064200|N|N|N
80064214|N|N|Y
80064280|N|N|N
80064300|N|N|Y
80064321|N|N|Y
80064440|N|N|N
80064450|N|N|N
80064565|N|N|N
80064601|N|N|N
80064606|N|N|Y
80064624|N|N|N
80064750|N|N|Y
80064755|N|N|Y
80064920|N|N|N
80064938|N|N|Y
80065021|N|N|N
